WP	O
VVZ	O
NN	B-character.name
IN	O
NN	B-movie.name
NNS	I-movie.name
JJ	I-movie.name
NN	I-movie.name

NN	O
NNS	O
IN	O
DT	B-movie.name
NN	I-movie.name

WP	O
VBD	O
DT	O
JJ	O
NN	O
IN	O
DT	B-movie.name
NN	I-movie.name

VV	O
DT	O
JJ	O
NN	O
IN	O
DT	O
NN	O
PP	B-movie.name
VBZ	I-movie.name
DT	I-movie.name
NN	I-movie.name

WP	O
VVD	O
NN	B-character.name
IN	O
VVG	B-movie.name
NN	I-movie.name

WP	O
VBD	O
DT	O
JJ	O
NN	O
IN	O
JJ	B-movie.name
NN	I-movie.name

WP	O
VVD	O
NN	B-character.name
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

WP	O
VBD	O
DT	O
NN	O
IN	O
NN	B-movie.name
TO	I-movie.name
VV	I-movie.name

VV	O
DT	O
NN	O
WP	O
VVZ	O
NN	B-character.name
IN	O
NN	B-movie.name
POS	I-movie.name
NNS	I-movie.name

NN	O
CC	O
NN	O
IN	O
NN	O
DT	B-movie.name
NN	I-movie.name

NN	O
CC	O
NN	O
IN	O
DT	B-movie.name
NN	I-movie.name

WP	O
VVZ	O
IN	O
DT	O
NN	O
DT	B-movie.name
NN	I-movie.name

WP	O
VVD	O
IN	O
DT	B-movie.name
NN	I-movie.name

WP	O
VBD	O
DT	O
NN	O
IN	O
DT	B-movie.name
NN	I-movie.name

WP	O
VBD	O
DT	O
JJ	O
NN	O
IN	O
NN	B-movie.name
NN	I-movie.name

NN	O
IN	O
NN	B-movie.name

WP	O
VVZ	O
IN	O
NN	B-movie.name

WP	O
VBP	O
DT	O
NNS	O
IN	O
JJ	O
NNS	O
WP	O
VVD	O
IN	O
VVN	B-movie.name

MD	O
NNS	O
VV	O
DT	O
VVN	O
NN	O
CC	O
NN	O
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

NN	O
CC	O
NN	O
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

NN	O
NN	O
CC	O
NN	O
IN	O
DT	O
NN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

WP	O
VBZ	O
DT	O
NN	O
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

WP	O
VVD	O
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

WP	O
VVD	O
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

WP	O
VBD	O
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

WP	O
VBD	O
NP	B-actor.name
NP	I-actor.name
POS	O
NNS	O
IN	O
NN	B-movie.name
VBZ	I-movie.name
JJ	I-movie.name

NNS	O
VBP	O
VVG	O
IN	O
DT	O
NN	O
WDT	O
VVD	O
IN	O
JJ	B-movie.name
NNS	I-movie.name

NN	O
IN	O
NN	B-movie.name

WP	O
VVD	O
NN	B-character.name
IN	O
NN	B-movie.name
RB	I-movie.name

VV	O
DT	O
JJ	O
NN	O
IN	O
JJ	B-movie.name
VVP	I-movie.name

VV	O
PP	O
DT	O
NN	O
IN	O
DT	O
NP	B-movie.name

JJ	B-movie.name
NN	O

WP	O
NN	O
VVN	O
IN	O
DT	B-movie.name
JJ	I-movie.name
NN	I-movie.name
NN	I-movie.name

WP	O
VBP	O
DT	O
NNS	O
IN	O
NN	B-movie.name
NN	I-movie.name

WP	O
VVD	O
IN	O
NN	B-movie.name
NN	I-movie.name

WP	O
VBD	O
IN	O
DT	O
NN	O
NN	B-movie.name
NN	I-movie.name

WP	O
VBD	O
DT	O
NN	O
NNS	O
IN	O
DT	B-movie.name
NN	I-movie.name

VV	O
PP	O
DT	O
NN	O
IN	O
DT	O
NN	O
NN	B-movie.name

WDT	O
JJ	O
NNS	O
VVN	O
IN	O
NN	B-movie.name

MD	O
NNS	O
VV	O
DT	O
NN	O
CC	O
NN	O
IN	O
DT	O
NN	O
IN	B-movie.name
RB	I-movie.name

NN	O
NN	O
CC	O
NN	O
IN	B-movie.name
RB	I-movie.name

WP	O
VVZ	O
IN	O
IN	B-movie.name
NN	I-movie.name

WP	O
VVZ	O
IN	O
IN	B-movie.name
NN	I-movie.name

NN	O
NNS	O
IN	O
JJ	B-movie.name
NN	I-movie.name

VV	O
PP	O
DT	O
NN	O
IN	O
DT	O
NN	O
NN	B-movie.name
NN	I-movie.name

JJ	B-movie.name
CD	O
NN	O

WP	O
VBZ	O
NN	B-character.name

WP	O
VVD	O
IN	O
NP	B-movie.name
NN	I-movie.name
NN	I-movie.name

NN	B-movie.name
CD	I-movie.name
NN	O
NNS	O

MD	O
PP	O
VV	O
PP	O
JJR	O
IN	O
DT	O
NN	O
CC	O
NN	O
IN	O
DT	O
NN	O
NN	B-movie.name
CD	I-movie.name

NN	O
CC	O
NN	O
IN	O
NN	B-movie.name
CD	I-movie.name

NNS	O
IN	O
NN	B-movie.name
CD	I-movie.name

JJ	O
NN	O
